kind,implementation,memory,size,offset,cycles,iterations
scan,mve,dtcm,12,15,49160,512
scan,byte,dtcm,16,0,98312,512
scan,word,dtcm,16,0,55304,512
scan,word_unaligned,dtcm,16,0,51208,512
scan,mve,dtcm,16,0,49160,512
scan,byte,dtcm,16,1,98312,512
scan,word,dtcm,16,1,59400,512
scan,word_unaligned,dtcm,16,1,55304,512
scan,mve,dtcm,16,1,49160,512
scan,byte,dtcm,16,3,98312,512
scan,word,dtcm,16,3,57352,512
scan,word_unaligned,dtcm,16,3,55304,512
scan,mve,dtcm,16,3,49160,512
scan,byte,dtcm,16,15,98312,512
scan,word,dtcm,16,15,57352,512
scan,word_unaligned,dtcm,16,15,55304,512
scan,mve,dtcm,16,15,49160,512
scan,byte,dtcm,24,0,131080,512
scan,word,dtcm,24,0,63496,512
scan,word_unaligned,dtcm,24,0,59400,512
scan,mve,dtcm,24,0,49160,512
scan,byte,dtcm,24,1,131080,512
scan,word,dtcm,24,1,67592,512
scan,word_unaligned,dtcm,24,1,65544,512
scan,mve,dtcm,24,1,49160,512
scan,byte,dtcm,24,3,131080,512
scan,word,dtcm,24,3,65544,512
scan,word_unaligned,dtcm,24,3,65544,512
scan,mve,dtcm,24,3,49160,512
scan,byte,dtcm,24,15,131080,512
scan,word,dtcm,24,15,65544,512
scan,word_unaligned,dtcm,24,15,65544,512
scan,mve,dtcm,24,15,49160,512
scan,byte,dtcm,32,0,163848,512
scan,word,dtcm,32,0,71688,512
scan,word_unaligned,dtcm,32,0,67592,512
scan,mve,dtcm,32,0,49160,512
scan,byte,dtcm,32,1,163848,512
scan,word,dtcm,32,1,75784,512
scan,word_unaligned,dtcm,32,1,75784,512
scan,mve,dtcm,32,1,49160,512
scan,byte,dtcm,32,3,163848,512
scan,word,dtcm,32,3,73736,512
scan,word_unaligned,dtcm,32,3,75784,512
scan,mve,dtcm,32,3,49160,512
scan,byte,dtcm,32,15,163848,512
scan,word,dtcm,32,15,73736,512
scan,word_unaligned,dtcm,32,15,75784,512
scan,mve,dtcm,32,15,49160,512
scan,byte,dtcm,48,0,229384,512
scan,word,dtcm,48,0,88072,512
scan,word_unaligned,dtcm,48,0,83976,512
scan,mve,dtcm,48,0,53256,512
scan,byte,dtcm,48,1,229384,512
scan,word,dtcm,48,1,92168,512
scan,word_unaligned,dtcm,48,1,96264,512
scan,mve,dtcm,48,1,55304,512
scan,byte,dtcm,48,3,229384,512
scan,word,dtcm,48,3,90120,512
scan,word_unaligned,dtcm,48,3,96264,512
scan,mve,dtcm,48,3,55304,512
scan,byte,dtcm,48,15,229384,512
scan,word,dtcm,48,15,90120,512
scan,word_unaligned,dtcm,48,15,96264,512
scan,mve,dtcm,48,15,55304,512
scan,byte,dtcm,64,0,294920,512
scan,word,dtcm,64,0,104456,512
scan,word_unaligned,dtcm,64,0,100360,512
scan,mve,dtcm,64,0,61448,512
scan,byte,dtcm,64,1,294920,512
scan,word,dtcm,64,1,108552,512
scan,word_unaligned,dtcm,64,1,116744,512
scan,mve,dtcm,64,1,63496,512
scan,byte,dtcm,64,3,294920,512
scan,word,dtcm,64,3,106504,512
scan,word_unaligned,dtcm,64,3,116744,512
scan,mve,dtcm,64,3,63496,512
scan,byte,dtcm,64,15,294920,512
scan,word,dtcm,64,15,106504,512
scan,word_unaligned,dtcm,64,15,116744,512
scan,mve,dtcm,64,15,63496,512
scan,byte,dtcm,96,0,425992,512
scan,word,dtcm,96,0,137224,512
scan,word_unaligned,dtcm,96,0,133128,512
scan,mve,dtcm,96,0,75784,512
scan,byte,dtcm,96,1,425992,512
scan,word,dtcm,96,1,141320,512
scan,word_unaligned,dtcm,96,1,157704,512
scan,mve,dtcm,96,1,77832,512
scan,byte,dtcm,96,3,425992,512
scan,word,dtcm,96,3,139272,512
scan,word_unaligned,dtcm,96,3,157704,512
scan,mve,dtcm,96,3,77832,512
scan,byte,dtcm,96,15,425992,512
scan,word,dtcm,96,15,139272,512
scan,word_unaligned,dtcm,96,15,157704,512
scan,mve,dtcm,96,15,77832,512
scan,byte,dtcm,128,0,557064,512
scan,word,dtcm,128,0,169992,512
scan,word_unaligned,dtcm,128,0,165896,512
scan,mve,dtcm,128,0,90120,512
scan,byte,dtcm,128,1,557064,512
scan,word,dtcm,128,1,174088,512
scan,word_unaligned,dtcm,128,1,198664,512
scan,mve,dtcm,128,1,94216,512
scan,byte,dtcm,128,3,557064,512
scan,word,dtcm,128,3,172040,512
scan,word_unaligned,dtcm,128,3,198664,512
scan,mve,dtcm,128,3,94216,512
scan,byte,dtcm,128,15,557064,512
scan,word,dtcm,128,15,172040,512
scan,word_unaligned,dtcm,128,15,198664,512
scan,mve,dtcm,128,15,94216,512
scan,byte,dtcm,256,0,1081352,512
scan,word,dtcm,256,0,301064,512
scan,word_unaligned,dtcm,256,0,296968,512
scan,mve,dtcm,256,0,147464,512
scan,byte,dtcm,256,1,1081352,512
scan,word,dtcm,256,1,305160,512
scan,word_unaligned,dtcm,256,1,362504,512
scan,mve,dtcm,256,1,155656,512
scan,byte,dtcm,256,3,1081352,512
scan,word,dtcm,256,3,303112,512
scan,word_unaligned,dtcm,256,3,362504,512
scan,mve,dtcm,256,3,155656,512
scan,byte,dtcm,256,15,1081352,512
scan,word,dtcm,256,15,303112,512
scan,word_unaligned,dtcm,256,15,362504,512
scan,mve,dtcm,256,15,155656,512
scan,byte,dtcm,512,0,2129928,512
scan,word,dtcm,512,0,563208,512
scan,word_unaligned,dtcm,512,0,559112,512
scan,mve,dtcm,512,0,262152,512
scan,byte,dtcm,512,1,2129928,512
scan,word,dtcm,512,1,567304,512
scan,word_unaligned,dtcm,512,1,690184,512
scan,mve,dtcm,512,1,278536,512
scan,byte,dtcm,512,3,2129928,512
scan,word,dtcm,512,3,565256,512
scan,word_unaligned,dtcm,512,3,690184,512
scan,mve,dtcm,512,3,278536,512
scan,byte,dtcm,512,15,2129928,512
scan,word,dtcm,512,15,565256,512
scan,word_unaligned,dtcm,512,15,690184,512
scan,mve,dtcm,512,15,278536,512
scan,byte,sram,1,0,53256,512
scan,word,sram,1,0,59400,512
scan,word_unaligned,sram,1,0,53260,512
scan,mve,sram,1,0,57352,512
scan,byte,sram,1,1,53256,512
scan,word,sram,1,1,61448,512
scan,word_unaligned,sram,1,1,53260,512
scan,mve,sram,1,1,57352,512
scan,byte,sram,1,3,53256,512
scan,word,sram,1,3,61448,512
scan,word_unaligned,sram,1,3,53260,512
scan,mve,sram,1,3,57352,512
scan,byte,sram,1,15,53256,512
scan,word,sram,1,15,61448,512
scan,word_unaligned,sram,1,15,53260,512
scan,mve,sram,1,15,57352,512
scan,byte,sram,2,0,73736,512
scan,word,sram,2,0,79880,512
scan,word_unaligned,sram,2,0,73740,512
scan,mve,sram,2,0,57352,512
scan,byte,sram,2,1,73736,512
scan,word,sram,2,1,81928,512
scan,word_unaligned,sram,2,1,73740,512
scan,mve,sram,2,1,57352,512
scan,byte,sram,2,3,73736,512
scan,word,sram,2,3,75784,512
scan,word_unaligned,sram,2,3,73740,512
scan,mve,sram,2,3,57352,512
scan,byte,sram,2,15,73736,512
scan,word,sram,2,15,75784,512
scan,word_unaligned,sram,2,15,73740,512
scan,mve,sram,2,15,59400,512
scan,byte,sram,3,0,94216,512
scan,word,sram,3,0,100360,512
scan,word_unaligned,sram,3,0,94220,512
scan,mve,sram,3,0,57352,512
scan,byte,sram,3,1,94216,512
scan,word,sram,3,1,102408,512
scan,word_unaligned,sram,3,1,94220,512
scan,mve,sram,3,1,57352,512
scan,byte,sram,3,3,94216,512
scan,word,sram,3,3,96264,512
scan,word_unaligned,sram,3,3,94220,512
scan,mve,sram,3,3,57352,512
scan,byte,sram,3,15,94216,512
scan,word,sram,3,15,96264,512
scan,word_unaligned,sram,3,15,94220,512
scan,mve,sram,3,15,59400,512
scan,byte,sram,4,0,114696,512
scan,word,sram,4,0,59400,512
scan,word_unaligned,sram,4,0,55304,512
scan,mve,sram,4,0,57352,512
scan,byte,sram,4,1,114696,512
scan,word,sram,4,1,116744,512
scan,word_unaligned,sram,4,1,55304,512
scan,mve,sram,4,1,57352,512
scan,byte,sram,4,3,114696,512
scan,word,sram,4,3,116744,512
scan,word_unaligned,sram,4,3,55304,512
scan,mve,sram,4,3,57352,512
scan,byte,sram,4,15,114696,512
scan,word,sram,4,15,116744,512
scan,word_unaligned,sram,4,15,57352,512
scan,mve,sram,4,15,59400,512
scan,byte,sram,6,0,155656,512
scan,word,sram,6,0,96264,512
scan,word_unaligned,sram,6,0,90124,512
scan,mve,sram,6,0,57352,512
scan,byte,sram,6,1,155656,512
scan,word,sram,6,1,157704,512
scan,word_unaligned,sram,6,1,90124,512
scan,mve,sram,6,1,57352,512
scan,byte,sram,6,3,155656,512
scan,word,sram,6,3,90120,512
scan,word_unaligned,sram,6,3,90124,512
scan,mve,sram,6,3,73736,512
scan,byte,sram,6,15,155656,512
scan,word,sram,6,15,90120,512
scan,word_unaligned,sram,6,15,92172,512
scan,mve,sram,6,15,75784,512
scan,byte,sram,8,0,196616,512
scan,word,sram,8,0,79880,512
scan,word_unaligned,sram,8,0,75784,512
scan,mve,sram,8,0,57352,512
scan,byte,sram,8,1,196616,512
scan,word,sram,8,1,131080,512
scan,word_unaligned,sram,8,1,77832,512
scan,mve,sram,8,1,73736,512
scan,byte,sram,8,3,196616,512
scan,word,sram,8,3,131080,512
scan,word_unaligned,sram,8,3,77832,512
scan,mve,sram,8,3,73736,512
scan,byte,sram,8,15,196616,512
scan,word,sram,8,15,131080,512
scan,word_unaligned,sram,8,15,77832,512
scan,mve,sram,8,15,75784,512
scan,byte,sram,12,0,278536,512
scan,word,sram,12,0,100360,512
scan,word_unaligned,sram,12,0,96264,512
scan,mve,sram,12,0,71688,512
scan,byte,sram,12,1,278536,512
scan,word,sram,12,1,151560,512
scan,word_unaligned,sram,12,1,98312,512
scan,mve,sram,12,1,88072,512
scan,byte,sram,12,3,278536,512
scan,word,sram,12,3,151560,512
scan,word_unaligned,sram,12,3,98312,512
scan,mve,sram,12,3,88072,512
scan,byte,sram,12,15,278536,512
scan,word,sram,12,15,151560,512
scan,word_unaligned,sram,12,15,100360,512
scan,mve,sram,12,15,90120,512
scan,byte,sram,16,0,360456,512
